Overhead,Command,Shared Object,Symbol,Layer,Protocol,,Sum_overhead,,PHY SUM 
24.09,thread_FH,librfsimulator.so,rfsimulator_read,PHY,,,0.91,,
2.98,feptx, libdfts.so,idft64,PHY,,,,,
2.78,feptx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,,,,,
2.66,feptx,libdfts.so,idft2048,PHY,,,,,
2.41,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,???,,,,,
2.29,feptx, libdfts.so,idft1024,PHY,,,,,
2.23,nr-softmodem,librfsimulator.so, rfsimulator_write_internal.constprop.1,PHY,,,,,
1.94,feptx, libdfts.so,idft256,PHY,,,,,
1.35,Tpool2_-1 ,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LDCP,,,,
1.33,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,,,,,
1.32,Tpool0_-1, libc-2.27.so ,__memmove_avx_unaligned_erms,PHY,LDCP,,,,
1.29,feprx, libdfts.so,dft2048,PHY,,,,,
1.28,Tpool1_-1,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LDCP,,,,
1.19,Tpool3_-1,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LDCP,,,,
1.15,Tpool3_-1,nr-softmodem,nr_generate_pdsch,PHY,,,,,
1.09,Tpool3_-1,libldpc.so,ldpc384_byte,PHY,LDCP,,,,
1.03,nr-softmodem,[kernel.kallsyms],copy_user_enhanced_fast_string,???,,,,,
1,TASK_GTPV1_U,[kernel.kallsyms],do_syscall_64,PHY,LDCP,,,,
0.91,thread_FH,libc-2.27.so,__memset_avx2_erms,PHY,,,,,
0.86,Tpool0_-1, libldpc.so ,ldpc384_byte,PHY,LDCP,,,,
0.82,Tpool1_-1, libldpc.so,ldpc384_byte,PHY,LDCP,,,,
0.82,Tpool2_-1, libldpc.so,ldpc384_byte,PHY,LDCP,,,,
0.77,thread_FH,libdfts.so,dft256,PHY,,,,,
0.77, Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,,,,,
0.77,feptx, libdfts.so,dft1024,PHY,,,,,
0.75, Tpool2_-1, nr-softmodem ,rotate_cpx_vector,PHY,,,,,
0.72,Tpool0_-1,libldpc.so,nrLDPC_encod,PHY,LDCP,,,,
0.71, Tpool2_-1,nr-softmodem,nr_interleaving_ldpc,PHY,,,,,
0.68,feprx,[kernel.kallsyms],reschedule_interrupt,???,,,,,
0.67,Tpool2_-1 ,nr-softmodem,nr_generate_pdsch,PHY,,,,,
0.67,Tpool3_-1,nr-softmodem,nr_interleaving_ldpc,PHY,LDCP,,,,
0.66,TASK_GTPV1_U,nr-softmodem,gtpv1uReceiver,PDCP,,,,,
0.65,Tpool1_-1,nr-softmodem,nr_interleaving_ldpc,PHY,,,,,
0.64,Tpool1_-1,nr-softmodem,nr_generate_pdsch,PHY,,,,,
0.64,Tpool3_-1,libldpc.so,nrLDPC_encod,PHY,LDCP,,,,
0.64,Tpool1_-1,libldpc.so,nrLDPC_encod,PHY,LDCP,,,,
0.63, Tpool2_-1,libldpc.so,nrLDPC_encod,PHY,LDCP,,,,
0.62,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,,,,,
0.6,thread_FH,libdfts.so,dft64,PHY,,,,,
0.57,feptx,[kernel.kallsyms],futex_wait,???,,,,,
0.56,RLC queue,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,RLC,,,,,
0.56,TASK_GNB_APP,[kernel.kallsyms],ext4_do_update_inode,???,,,,,
0.55,thread_FH,[kernel.kallsyms],skb_release_data,???,,,,,
0.52,feprx, libdfts.so,dft64,PHY,,,,,
0.51,Tpool1_-1, libc-2.27.so ,__memset_avx2_erms,???,,,,,
0.49,thread_FH, [unknown],,???,,,,,
0.48,Tpool0_-1,libc-2.27.so,__memset_avx2_erms,???,,,,,
0.48,Tpool3_-1,libc-2.27.so,__memset_avx2_erms,???,,,,,
0.48,Tpool1_-1,[kernel.kallsyms],futex_wait_queue_me,???,,,,,
0.47,TASK_GNB_APP,libc-2.27.so ,fseek,???,,,,,
0.46,TASK_RRC_GNB,[kernel.kallsyms],ep_item_poll.isra.12,RRC,,,,,
0.44,nr-softmodem,libc-2.27.so,__memset_avx2_erms,???,,,,,
0.43,Tpool0_-1,nr-softmodem,nr_generate_pdsch,PHY,,,,,
0.41,thread_FH,libdfts.so,dft2048,PHY,,,,,
0.39,Tpool2_-1 ,libc-2.27.so,__memset_avx2_erms,???,,,,,
0.39,Tpool1_-1, nr-softmodem,nr_codeword_scrambling,PHY,,,,,
0.38,feprx,[kernel.kallsyms],sys_futex,???,,,,,
0.37,TASK_GTPV1_U,[kernel.kallsyms],ep_scan_ready_list.constprop.17,PDCP,,,,,
0.33,thread_FH,[kernel.kallsyms],copy_page_to_iter,???,,,,,
0.33,Tpool3_-1 , nr-softmodem,nr_codeword_scrambling,PHY,,,,,
0.32,Tpool0_-1 ,nr-softmodem ,nr_interleaving_ldpc,PHY,,,,,
0.31,nr-softmodem,[kernel.kallsyms],do_syscall_64,,,,,,
0.28,nr-softmodem,[kernel.kallsyms],update_rt_migration,,,,,,
0.25,Tpool2_-1,nr-softmodem ,nr_codeword_scrambling,PHY,,,,,
0.25,thread_FH,libdfts.so,dft1024,PHY,,,,,
0.25,Tpool0_-1,nr-softmodem,nr_codeword_scrambling,PHY,,,,,
0.23,RLC queue,[kernel.kallsyms],do_syscall_64,RLC,,,,,
0.23,Tpool0_-1,nr-softmodem ,gNB_I0_measurements,PHY,,,,,
0.21,feprx,libdfts.so,dft256,PHY,,,,,
0.19, Tpool1_-1,nr-softmodem,nr_modulation,PHY,,,,,
0.19,thread_FH,[kernel.kallsyms],do_syscall_64,,,,,,
0.18,Tpool2_-1 ,nr-softmodem,nr_modulation,PHY,,,,,
0.17,Tpool2_-1 ,nr-softmodem,gNB_I0_measurements,PHY,,,,,
0.16, Tpool0_-1,nr-softmodem,nr_segmentation,PHY,,,,,
0.16,Tpool2_-1,nr-softmodem,multadd_cpx_vector,PHY,,,,,
0.15,Tpool3_-1,nr-softmodem,multadd_cpx_vector,PHY,,,,,
0.15,Tpool1_-1 ,nr-softmodem,multadd_cpx_vector,PHY,,,,,
0.15,Tpool1_-1 ,[kernel.kallsyms],do_syscall_64,,,,,,
0.15,TASK_GTPV1_U,[kernel.kallsyms],syscall_return_via_sysret,PDCP,,,,,
0.15,feprx,libc-2.27.so,__memmove_avx_unaligned_erms,,,,,,
0.12,TASK_GTPV1_U,[kernel.kallsyms],__skb_checksum,GTP,,,,,
0.12,Tpool1_-1 ,nr-softmodem,gNB_I0_measurements,PHY,,,,,
0.12,Tpool3_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,,,,,
0.11, Tpool0_-1,nr-softmodem,signal_energy_nodc,PHY,,,,,
0.11,Tpool3_-1,nr-softmodem,nr_segmentation,PHY,,,,,
0.11,Tpool0_-1,[kernel.kallsyms],__entry_trampoline_start,,,,,,
0.11,Tpool3_-1,[kernel.kallsyms],cpupri_set,,,,,,
0.1,Tpool0_-1,nr-softmodem,multadd_cpx_vector,PHY,,,,,
0.1,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_lock,PDCP,,,,,
0.1,TASK_GTPV1_U,[kernel.kallsyms],do_csum,PDCP,,,,,
0.1,feptx,libpthread-2.27.so,__pthread_mutex_lock,,,,,,
0.09,RLC queue, [kernel.kallsyms],syscall_return_via_sysret,RLC,,,,,
0.09,TASK_GTPV1_U,libc-2.27.so,malloc,PDCP,,,,,
0.09,TASK_GTPV1_U,[kernel.kallsyms],ep_send_events_proc,PDCP,,,,,
0.09,RLC queue,libc-2.27.so  ,_int_malloc,RLC,,,,,
0.09,thread_FH,[kernel.kallsyms],_raw_spin_lock_irqsave,,,,,,
0.09,TASK_GTPV1_U,libpthread-2.27.so,pthread_cond_signal,PDCP,,,,,
0.08,Tpool2_-1, [kernel.kallsyms],do_syscall_64,,,,,,
0.08,Tpool0_-1 ,nr-softmodem,crc24b,PHY,,,,,
0.08,feptx, [kernel.kallsyms] ,do_syscall_64,,,,,,
0.08,TASK_GTPV1_U, [kernel.kallsyms] ,__indirect_thunk_start,PDCP,,,,,
0.08, RLC queue,nr-softmodem,rlc_data_req_thread,RLC,,,,,
0.08,Tpool0_-1,[kernel.kallsyms],_raw_spin_lock,,,,,,
0.08,Tpool2_-1,nr-softmodem,rx_nr_prach,PHY,,,,,
0.08,nr-softmodem,[kernel.kallsyms],intel_pmu_disable_all,,,,,,
0.08,thread_FH, [unknown] ,,,,,,,
0.07,TASK_GTPV1_U,,,PDCP,,,,,
0.07,Tpool0_-1,nr-softmodem,nr_modulation,PHY,,,,,
0.07,Tpool3_-1,[kernel.kallsyms],do_syscall_64,,,,,,
0.07,Tpool0_-1,[kernel.kallsyms],syscall_return_via_sysret,,,,,,
0.07,Tpool0_-1,nr-softmodem,rx_nr_prach,PHY,,,,,
0.07,Tpool3_-1,nr-softmodem,rx_nr_prach,PHY,,,,,
0.07,Tpool3_-1,nr-softmodem,gNB_I0_measurements,PHY,,,,,
0.07,feptx, libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,,,,,,
0.07,thread_FH,[kernel.kallsyms],mlx4_en_select_queue,,,,,,
0.07,RLC queue, libc-2.27.so ,__libc_calloc,RLC,,,,,
0.06,Tpool1_-1,libdfts.so,idft64,PHY,,,,,
0.06,,,,PHY,,,,,
0.06,,,,PHY,,,,,
0.06,,,,PDCP,,,,,
0.06,,,,PHY,,,,,
0.06,,,,PHY,,,,,
0.06,,,,PHY,,,,,
0.06,,,,PHY,,,,,
0.06,,,,RLC,,,,,
0.06,,,,RLC,,,,,
0.05,,,,PHY,,,,,
0.05,,,,PHY,,,,,
0.05,,,,PHY,,,,,
0.05,,,,PHY,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,PHY,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,PHY,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,PHY,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,PHY,,,,,
0.05,,,,RLC,,,,,
0.05,,,,PHY,,,,,
0.05,,,,RLC,,,,,
0.05,,,,RLC,,,,,
0.05,,,,PDCP,,,,,
0.05,,,,MAC,,,,,
0.04,,,,PHY,LDPC,,,,
0.04,,,,PDCP,,,,,
0.04,,,,PHY,,,,,
0.04,,,,RRC,,,,,
0.04,,,,PHY,,,,,
0.04,,,,PHY,,,,,
0.04,,,,PDCP,,,,,
0.04,,,,PDCP,,,,,
0.04,,,,PDCP,,,,,
0.04,,,,PHY,LDPC,,,,
0.04,,,,PHY,,,,,
0.04,,,,RLC,,,,,
0.04,,,,PDCP,,,,,
0.04,,,,PHY,LDPC,,,,
0.04,,,,PDCP,,,,,
0.04,,,,RLC,,,,,
0.04,,,,PHY,,,,,
0.04,,,,PDCP,,,,,
0.04,,,,PDCP,,,,,
0.04,,,,PDCP,,,,,
0.04,,,,RLC,,,,,
0.04,,,,MAC,,,,,
0.04,,,,PDCP,,,,,
0.04,,,,PHY,,,,,
0.04,,,,PHY,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,PHY,,,,,
0.03,,,,RLC,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,RLC,,,,,
0.03,,,,MAC,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,RLC,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,RLC,,,,,
0.03,,,,PHY,,,,,
0.03,,,,PHY,,,,,
0.03,,,,PHY,,,,,
0.03,,,,PHY,LDPC,,,,
0.03,,,,PHY,,,,,
0.03,,,,PHY,,,,,
0.03,,,,PHY,,,,,
0.03,,,,RLC,,,,,
0.03,,,,RLC,,,,,
0.03,,,,PHY,,,,,
0.03,,,,PHY,,,,,
0.03,,,,PHY,LDPC,,,,
0.03,,,,PHY,,,,,
0.03,,,,PHY,,,,,
0.03,,,,PHY,,,,,
0.03,,,,RLC,,,,,
0.03,,,,PHY,,,,,
0.03,,,,RLC,,,,,
0.03,,,,PHY,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,RRC,,,,,
0.03,,,,MAC,,,,,
0.03,,,,PHY,,,,,
0.03,,,,RRC,,,,,
0.03,,,,MAC,,,,,
0.03,,,,PHY,,,,,
0.03,,,,PDCP,,,,,
0.03,,,,PHY,,,,,
0.03,,,,MAC,,,,,
0.03,,,,RLC,,,,,
0.02,,,,MAC,,,,,
0.02,,,,RLC,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,MAC,,,,,
0.02,,,,MAC,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PHY,LDPC,,,,
0.02,,,,RLC,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,MAC,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,MAC,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PHY,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,MAC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,MAC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,MAC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,MAC,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PHY,,,,,
0.02,,,,RLC,,,,,
0.02,,,,MAC,,,,,
0.02,,,,MAC,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,MAC,,,,,
0.02,,,,RLC,,,,,
0.02,,,,MAC,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PDCP,,,,,
0.02,,,,PHY,,,,,
0.02,,,,RLC,,,,,
0.02,,,,PHY,,,,,
0.02,,,,PHY,,,,,
0.02,,,,RLC,,,,,
0.02,,,,MAC,,,,,