Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,PSCP of 4Mbps -PSCP of 0Mbps,PSCP of 4Mbps - PSCP of 0Mbps,,CPU of 4Mbps:(all)72.26%,CPU with 4Mbps,CPU with 0Mbps (all)176.21%,CPU of 0Mbps,CPU1-CPU2
0.01%,0%,TASK_RRC_GNB,nr-softmodem,itti_free,RRC,,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,pdcp_timer,[kernel.kallsyms],pick_next_task_fair,PDCP,,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool3_-1,nr-softmodem,crc16,PHY,HIGH PHY,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,nr-softmodem,nr_compute_tbslbrm,MAC,,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,pdcp_timer,[kernel.kallsyms],finish_task_switch,PDCP,,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feprx,[kernel.kallsyms],prepare_exit_to_usermode,PHY,LOW PHY,,-0.09%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.38%,RLC,queue,[k],RLC,,,,-0.37%,,141.55%,0.01%,67.23%,0.26%,-0.24%
0.01%,0.00%,pdcp_timer,[kernel.kallsyms],futex_wait_queue_me,PDCP,,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,pdcp_timer,[kernel.kallsyms],get_futex_key,PDCP,,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],cmpxchg_double_slab.isra.33,NG,,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,feptx,[unknown],0xfffffe0000037046,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool0_-1,nr-softmodem,crc24c,PHY,HIGH PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.15%,Tpool1_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,,,-0.14%,,141.55%,0.01%,67.23%,0.10%,-0.09%
0.01%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],__perf_event_task_sched_in,NG,,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,TASK_GTPV1_U,[kernel.kallsyms],native_sched_clock,NG,,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,TASK_GTPV1_U,[kernel.kallsyms],__first_packet_length,NG,,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.07%,Tpool0_-1,libdfts.so,idft2048,PHY,LOW PHY,DFT,,-0.06%,,141.55%,0.01%,67.23%,0.05%,-0.03%
0.01%,0.01%,TASK_RRC_GNB,[kernel.kallsyms],ep_item_poll.isra.12,RRC,,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,pdcp_timer,[kernel.kallsyms],push_rt_task,PDCP,,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.38%,RLC,queue,[k],RLC,,,,-0.37%,,141.55%,0.01%,67.23%,0.26%,-0.24%
0.01%,0.06%,TASK_GTPV1_U,nr-softmodem,gtpv1uReceiver,NG,,,,-0.05%,,141.55%,0.01%,67.23%,0.04%,-0.03%
0.01%,0.01%,TASK_GTPV1_U,nr-softmodem,deliver_pdu_drb,NG,,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,pdcp_timer,[kernel.kallsyms],entry_SYSCALL_64_stage2,PDCP,,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.07%,TASK_GTPV1_U,[kernel.kallsyms],try_to_wake_up,NG,,,,-0.06%,,141.55%,0.01%,67.23%,0.05%,-0.03%
0.01%,0%,TASK_RRC_GNB,[unknown],0xfffffe000012c01b,RRC,,,-0.06%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool0_-1,nr-softmodem,nr_slot_select,PHY,LOW PHY,,-0.06%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.38%,RLC,queue,[k],RLC,,,,-0.37%,,141.55%,0.01%,67.23%,0.26%,-0.24%
0.00%,0%,pdcp_timer,[kernel.kallsyms],_raw_spin_lock,PDCP,,,-0.37%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_GTPV1_U,[unknown],0xfffffe000006800c,NG,,,-0.37%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_RRC_GNB,[kernel.kallsyms],pick_next_task_fair,RRC,,,-0.37%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_RRC_GNB,[kernel.kallsyms],prepare_exit_to_usermode,RRC,,,-0.37%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.38%,RLC,queue,[k],RLC,,,,-0.38%,,141.55%,0.00%,67.23%,0.26%,-0.26%
0.00%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],ep_scan_ready_list.constprop.17,RRC,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_RRC_GNB,nr-softmodem,rrc_gnb_task,RRC,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.03%,TASK_GTPV1_U,[kernel.kallsyms],futex_wake,NG,,,,-0.03%,,141.55%,0.00%,67.23%,0.02%,-0.02%
0.00%,0%,feptx,[kernel.kallsyms],schedule,PHY,LOW PHY,,-0.03%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_idle,NG,,,-0.03%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.04%,TASK_RRC_GNB,[kernel.kallsyms],_raw_spin_lock_irqsave,RRC,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0.00%,0%,TASK_RRC_GNB,libc-2.27.so,cfree@GLIBC_2.2.5,RRC,,,-0.04%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_GTPV1_U,[kernel.kallsyms],schedule,NG,,,-0.04%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,pdcp_timer,[unknown],0xfffffe000006800c,PDCP,,,-0.04%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,PDCP,data,libc-2.27.so,PDCP,,,-0.04%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.01%,TASK_RRC_GNB,[kernel.kallsyms],schedule_hrtimeout_range_clock,RRC,,,,-0.01%,,141.55%,0.00%,67.23%,0.01%,-0.01%
0.00%,0%,pdcp_timer,[kernel.kallsyms],sys_futex,PDCP,,,-0.01%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,pdcp_timer,[kernel.kallsyms],ctx_sched_out,PDCP,,,-0.01%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,pdcp_timer,[kernel.kallsyms],idle_cpu,PDCP,,,-0.01%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.01%,TASK_GNB_APP,[kernel.kallsyms],__mnt_drop_write_file,SL,,,,-0.01%,,141.55%,0.00%,67.23%,0.01%,-0.01%
0.00%,0%,TASK_GNB_APP,libc-2.27.so,__memmove_avx_unaligned_erms,SL,,,-0.01%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_RRC_GNB,libc-2.27.so,__libc_disable_asynccancel,RRC,,,-0.01%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,pdcp_timer,[kernel.kallsyms],rcu_note_context_switch,PDCP,,,-0.01%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.02%,TASK_GTPV1_U,nr-softmodem,itti_get_events_locked,NG,,,,-0.02%,,141.55%,0.00%,67.23%,0.01%,-0.01%
0.00%,0%,TASK_GNB_APP,[unknown],0xfffffe00000fb01b,SL,,,-0.02%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,pdcp_timer,nr-softmodem,pthread_mutex_unlock@plt,PDCP,,,-0.02%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_GNB_APP,[kernel.kallsyms],do_nanosleep,SL,,,-0.02%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,PDCP,data,nr-softmodem,PDCP,,,-0.02%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_GNB_APP,libc-2.27.so,_IO_switch_to_get_mode,SL,,,-0.02%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,feprx,[kernel.kallsyms],ttwu_do_activate,PHY,LOW PHY,,-0.02%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_GNB_APP,libc-2.27.so,__nanosleep,SL,,,-0.02%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,TASK_GTPV1_U,[kernel.kallsyms],native_apic_msr_write,NG,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],native_apic_msr_write,PDCP,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.38%,RLC,queue,[k],RLC,,,,-0.38%,,141.55%,0.00%,67.23%,0.26%,-0.26%
0.00%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],native_apic_msr_write,RRC,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,TASK_GNB_APP,[kernel.kallsyms],native_apic_msr_write,SL,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,thread_FH,[kernel.kallsyms],native_apic_msr_write,PHY,LOW PHY,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,feprx,[kernel.kallsyms],native_apic_msr_write,PHY,LOW PHY,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],native_write_msr,RRC,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,feptx,[kernel.kallsyms],native_apic_msr_write,PHY,LOW PHY,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.38%,RLC,queue,[k],RLC,,,,-0.38%,,141.55%,0.00%,67.23%,0.26%,-0.26%
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],native_write_msr,PDCP,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,feprx,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.03%,TASK_GTPV1_U,[kernel.kallsyms],native_write_msr,NG,,,,-0.03%,,141.55%,0.00%,67.23%,0.02%,-0.02%
0.00%,0%,PDCP,data,[kernel.kallsyms],PDCP,,,-0.03%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,TASK_GNB_APP,[kernel.kallsyms],native_write_msr,SL,,,-0.03%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,PDCP,data,[kernel.kallsyms],PDCP,,,-0.03%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],intel_bts_enable_local,RRC,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,feptx,[kernel.kallsyms],intel_pmu_handle_irq,PHY,LOW PHY,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,feptx,[kernel.kallsyms],intel_bts_enable_local,PHY,LOW PHY,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.38%,RLC,queue,[k],RLC,,,,-0.38%,,141.55%,0.00%,67.23%,0.26%,-0.26%
0.00%,0.00%,TASK_GNB_APP,[kernel.kallsyms],intel_bts_enable_local,SL,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,thread_FH,[kernel.kallsyms],intel_bts_enable_local,PHY,LOW PHY,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.38%,RLC,queue,[k],RLC,,,,-0.38%,,141.55%,0.00%,67.23%,0.26%,-0.26%
0.00%,0.00%,feprx,[kernel.kallsyms],intel_bts_enable_local,PHY,LOW PHY,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],intel_bts_enable_local,PDCP,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,TASK_GNB_APP,[kernel.kallsyms],__perf_event_task_sched_in,SL,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.01%,TASK_RRC_GNB,[kernel.kallsyms],_raw_spin_unlock,RRC,,,,-0.01%,,141.55%,0.00%,67.23%,0.01%,-0.01%
0.00%,0%,PDCP,data,[kernel.kallsyms],PDCP,,,-0.01%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,PDCP,data,[kernel.kallsyms],PDCP,,,-0.01%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,TASK_GNB_APP,[kernel.kallsyms],_raw_spin_unlock,SL,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,TASK_GTPV1_U,[kernel.kallsyms],intel_bts_enable_local,NG,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.38%,RLC,queue,[k],RLC,,,,-0.38%,,141.55%,0.00%,67.23%,0.26%,-0.26%
0.00%,0.00%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock,NG,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.00%,pdcp_timer,[kernel.kallsyms],_raw_spin_unlock,PDCP,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,pdcp_timer,[kernel.kallsyms],intel_pmu_handle_irq,PDCP,,,0.00%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0.38%,RLC,queue,[k],RLC,,,,-0.38%,,141.55%,0.00%,67.23%,0.26%,-0.26%
0.00%,0.02%,feprx,[kernel.kallsyms],__indirect_thunk_start,PHY,LOW PHY,,,-0.02%,,141.55%,0.00%,67.23%,0.01%,-0.01%
0.00%,0.03%,feptx,[kernel.kallsyms],__indirect_thunk_start,PHY,LOW PHY,,,-0.03%,,141.55%,0.00%,67.23%,0.02%,-0.02%
0.00%,0%,pdcp_timer,[kernel.kallsyms],x86_pmu_enable,PDCP,,,-0.03%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0.00%,0%,thread_FH,[kernel.kallsyms],__perf_event_enable,PHY,LOW PHY,,-0.03%,,,141.55%,0.00%,67.23%,0.00%,0.00%
0%,1.94%,Tpool1_-1,libc-2.27.so,#NAME?,PHY,HIGH PHY,LDPC,,-1.94%,,141.55%,0.00%,67.23%,1.30%,-1.30%
0%,1.66%,Tpool2_-1,libc-2.27.so,#NAME?,PHY,HIGH PHY,LDPC,,-1.66%,,141.55%,0.00%,67.23%,1.12%,-1.12%
0%,1.21%,Tpool0_-1,libc-2.27.so,#NAME?,PHY,HIGH PHY,LDPC,,-1.21%,,141.55%,0.00%,67.23%,0.81%,-0.81%
0%,1.18%,Tpool3_-1,libc-2.27.so,#NAME?,PHY,HIGH PHY,LDPC,,-1.18%,,141.55%,0.00%,67.23%,0.79%,-0.79%
0%,0.42%,TASK_GNB_APP,[kernel.kallsyms],ext4_reserve_inode_write,SL,,,,-0.42%,,141.55%,0.00%,67.23%,0.28%,-0.28%
0%,0.42%,TASK_GNB_APP,[kernel.kallsyms],ktime_get,SL,,,,-0.42%,,141.55%,0.00%,67.23%,0.28%,-0.28%
0%,0.41%,TASK_GTPV1_U,[kernel.kallsyms],__fget,NG,,,,-0.41%,,141.55%,0.00%,67.23%,0.28%,-0.28%
0%,0.39%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_disable_asynccancel,NG,,,,-0.39%,,141.55%,0.00%,67.23%,0.26%,-0.26%
0%,0.37%,feprx,[kernel.kallsyms],do_futex,PHY,LOW PHY,,,-0.37%,,141.55%,0.00%,67.23%,0.25%,-0.25%
0%,0.37%,thread_FH,[kernel.kallsyms],tick_sched_timer,PHY,LOW PHY,,,-0.37%,,141.55%,0.00%,67.23%,0.25%,-0.25%
0%,0.26%,feptx,[kernel.kallsyms],dequeue_top_rt_rq,PHY,LOW PHY,,,-0.26%,,141.55%,0.00%,67.23%,0.17%,-0.17%
0%,0.23%,TASK_RRC_GNB,[kernel.kallsyms],mutex_lock,RRC,,,,-0.23%,,141.55%,0.00%,67.23%,0.15%,-0.15%
0%,0.20%,RLC,queue,[k],RLC,,,,-0.20%,,141.55%,0.00%,67.23%,0.13%,-0.13%
0%,0.14%,feprx,[unknown],0xfffffe000006801b,PHY,LOW PHY,,,-0.14%,,141.55%,0.00%,67.23%,0.09%,-0.09%
0%,0.10%,TASK_GTPV1_U,[kernel.kallsyms],ep_send_events_proc,NG,,,,-0.10%,,141.55%,0.00%,67.23%,0.07%,-0.07%
0%,0.09%,RLC,queue,[.],RLC,,,,-0.09%,,141.55%,0.00%,67.23%,0.06%,-0.06%
0%,0.07%,Tpool2_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,,-0.07%,,141.55%,0.00%,67.23%,0.05%,-0.05%
0%,0.07%,Tpool1_-1,nr-softmodem,nr_rlc_entity_am_recv_pdu,RLC,,,,-0.07%,,141.55%,0.00%,67.23%,0.05%,-0.05%
0%,0.06%,TASK_GTPV1_U,[unknown],0xfffffe000003701b,NG,,,,-0.06%,,141.55%,0.00%,67.23%,0.04%,-0.04%
0%,0.06%,RLC,queue,[k],RLC,,,,-0.06%,,141.55%,0.00%,67.23%,0.04%,-0.04%
0%,0.06%,Tpool0_-1,nr-softmodem,nr_schedule_ue_spec,MAC,,,,-0.06%,,141.55%,0.00%,67.23%,0.04%,-0.04%
0%,0.06%,RLC,queue,[.],RLC,,,,-0.06%,,141.55%,0.00%,67.23%,0.04%,-0.04%
0%,0.05%,RLC,queue,[k],RLC,,,,-0.05%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.05%,RLC,queue,[k],RLC,,,,-0.05%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.05%,thread_FH,[kernel.kallsyms],import_single_range,PHY,LOW PHY,,,-0.05%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.05%,TASK_GTPV1_U,[kernel.kallsyms],copy_user_generic_unrolled,NG,,,,-0.05%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.05%,RLC,queue,[k],RLC,,,,-0.05%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.05%,feptx,[kernel.kallsyms],ttwu_do_wakeup,PHY,LOW PHY,,,-0.05%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.05%,TASK_GTPV1_U,[unknown],0xfffffe00000fb01b,NG,,,,-0.05%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.05%,RLC,queue,[.],RLC,,,,-0.05%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.05%,Tpool2_-1,nr-softmodem,ldpc8blocks,PHY,HIGH PHY,LDPC,,-0.05%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.05%,thread_FH,[kernel.kallsyms],pick_next_task_rt,PHY,LOW PHY,,,-0.05%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,RLC,queue,[.],RLC,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,Tpool3_-1,nr-softmodem,crc24b,PHY,HIGH PHY,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,thread_FH,nr-softmodem,get_samples_per_slot,PHY,LOW PHY,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,RLC,queue,[.],RLC,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],intel_pmu_disable_all,PHY,LOW PHY,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,RLC,queue,[.],RLC,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],ip_send_check,PHY,LOW PHY,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,TASK_GTPV1_U,[kernel.kallsyms],__slab_free,NG,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,TASK_GTPV1_U,nr-softmodem,nr_pdcp_manager_unlock,NG,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,TASK_GTPV1_U,[unknown],0xfffffe000006801b,NG,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,TASK_GTPV1_U,[kernel.kallsyms],resched_curr,NG,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,TASK_GTPV1_U,nr-softmodem,nr_pdcp_manager_get_ue,NG,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,RLC,queue,[k],RLC,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,feprx,[kernel.kallsyms],get_futex_key,PHY,LOW PHY,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,feptx,[kernel.kallsyms],update_blocked_averages,PHY,LOW PHY,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.04%,TASK_GTPV1_U,[kernel.kallsyms],enqueue_task_rt,NG,,,,-0.04%,,141.55%,0.00%,67.23%,0.03%,-0.03%
0%,0.03%,RLC,queue,[k],RLC,,,,-0.03%,,141.55%,0.00%,67.23%,0.02%,-0.02%
0%,0.03%,feptx,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,PHY,LOW PHY,,,-0.03%,,141.55%,0.00%,67.23%,0.02%,-0.02%
0%,0.03%,TASK_GTPV1_U,[kernel.kallsyms],entry_SYSCALL_64_stage2,NG,,,,-0.03%,,141.55%,0.00%,67.23%,0.02%,-0.02%
0%,0.03%,TASK_GTPV1_U,[kernel.kallsyms],csum_block_add_ext,NG,,,,-0.03%,,141.55%,0.00%,67.23%,0.02%,-0.02%
0%,0.03%,RLC,queue,[k],RLC,,,,-0.03%,,141.55%,0.00%,67.23%,0.02%,-0.02%
