FULL Speed,No Speed,Command,Object,Symbol,Layer,Layer2,Layer3,Full-No,Full-No
20.80%,38.16%,thread_FH,librfsimulator.so,rfsimulator_read,PHY,LOW PHY,,,-17.36%
2.55%,3.80%,feptx,libdfts.so,idft64,PHY,LOW PHY,,,-1.25%
2.43%,2.82%,feptx,libdfts.so,idft1024,PHY,LOW PHY,,,-0.39%
2.32%,3.88%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,,,-1.56%
2.16%,4.07%,feptx,libdfts.so,idft2048,PHY,LOW PHY,,,-1.91%
1.92%,2.94%,feptx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,,,-1.02%
1.75%,2.51%,feptx,libdfts.so,idft256,PHY,LOW PHY,,,-0.76%
1.55%,0%,Tpool2_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,1.55%,
1.14%,0.46%,feprx,libdfts.so,dft1024,PHY,LOW PHY,,0.68%,
1.11%,0.82%,feprx,libdfts.so,dft64,PHY,LOW PHY,,0.29%,
1.07%,0.02%,Tpool3_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,,1.05%,
1.02%,0%,Tpool2_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,1.02%,
0.98%,1.39%,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.41%
0.97%,0%,Tpool3_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,0.97%,
0.97%,0.01%,Tpool1_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,,0.96%,
0.95%,0%,TASK_GTPV1_U,[kernel.kallsyms],do_syscall_64,NG,,,0.95%,
0.88%,1.69%,thread_FH,libc-2.27.so,__memset_avx2_erms,PHY,LOW PHY,,,-0.81%
0.81%,0.68%,feprx,libdfts.so,dft256,PHY,LOW PHY,,0.13%,
0.81%,0.45%,thread_FH,libdfts.so,dft2048,PHY,LOW PHY,,0.36%,
0.77%,0%,Tpool0_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,0.77%,
0.77%,0.02%,Tpool1_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,0.75%,
0.77%,0.00%,Tpool0_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,0.77%,
0.70%,0%,Tpool2_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,0.70%,
0.68%,0.34%,Tpool1_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,0.34%,
0.68%,1.64%,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.96%
0.67%,1.48%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.81%
0.65%,0%,Tpool0_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,0.65%,
0.64%,1.44%,Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.80%
0.63%,0.02%,Tpool3_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,0.61%,
0.62%,0%,TASK_GTPV1_U,[kernel.kallsyms],n_tty_write,NG,,,0.62%,
0.59%,0%,Tpool2_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,,0.59%,
0.58%,0%,Tpool3_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,0.58%,
0.55%,0.02%,Tpool2_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,,0.53%,
0.53%,0%,Tpool1_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,0.53%,
0.52%,0%,TASK_GTPV1_U,[kernel.kallsyms],syscall_return_via_sysret,NG,,,0.52%,
0.49%,0.12%,feptx,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,,0.37%,
0.47%,0%,TASK_GTPV1_U,[kernel.kallsyms],vfs_write,NG,,,0.47%,
0.46%,0.31%,thread_FH,libdfts.so,dft1024,PHY,LOW PHY,,0.15%,
0.43%,0.70%,thread_FH,libdfts.so,dft64,PHY,LOW PHY,,,-0.27%
0.43%,0%,TASK_GNB_APP,libc-2.27.so,_itoa_word,SL,,,0.43%,
0.41%,0%,Tpool0_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,,0.41%,
0.40%,0.01%,Tpool1_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,0.39%,
0.38%,0%,RLC,queue,[k],RLC,,,0.38%,
0.37%,0%,TASK_RRC_GNB,[kernel.kallsyms],cpupri_set,RRC,,,0.37%,
0.37%,0%,TASK_GTPV1_U,libc-2.27.so,vfprintf,NG,,,0.37%,
0.33%,0.45%,feprx,libdfts.so,dft2048,PHY,LOW PHY,,,-0.12%
0.33%,0%,TASK_GTPV1_U,[kernel.kallsyms],check_preempt_curr,NG,,,0.33%,
0.31%,0%,thread_FH,[kernel.kallsyms],native_irq_return_iret,PHY,LOW PHY,,0.31%,
0.31%,0%,Tpool3_-1,nr-softmodem,nr_ulsch_decoding,PHY,HIGH PHY,,0.31%,
0.29%,0.22%,TASK_RRC_GNB,[kernel.kallsyms],do_syscall_64,RRC,,,0.07%,
0.27%,0.55%,thread_FH,libdfts.so,dft256,PHY,LOW PHY,,,-0.28%
0.26%,0%,TASK_RRC_GNB,libpthread-2.27.so,__pthread_mutex_lock,RRC,,,0.26%,
0.25%,0%,Tpool2_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,,0.25%,
0.25%,0%,RLC,queue,[.],RLC,,,0.25%,
0.21%,0%,Tpool0_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,,0.21%,
0.21%,0.43%,thread_FH,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,,,-0.22%
0.20%,0%,Tpool3_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,,0.20%,
0.19%,0%,TASK_GTPV1_U,[kernel.kallsyms],cpupri_set,NG,,,0.19%,
0.19%,0%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock_irqsave,NG,,,0.19%,
0.18%,0.47%,thread_FH,[kernel.kallsyms],copy_page_to_iter,PHY,LOW PHY,,,-0.29%
0.18%,0%,TASK_GTPV1_U,[kernel.kallsyms],select_task_rq_fair,NG,,,0.18%,
0.18%,0.26%,thread_FH,[kernel.kallsyms],skb_copy_datagram_iter,PHY,LOW PHY,,,-0.08%
0.17%,0%,TASK_GTPV1_U,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,NG,,,0.17%,
0.15%,0%,TASK_GTPV1_U,[kernel.kallsyms],resched_curr,NG,,,0.15%,
0.15%,0.01%,Tpool3_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,0.14%,
0.15%,0.13%,Tpool2_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.02%,
0.14%,0%,RLC,queue,[.],RLC,,,0.14%,
0.14%,0.33%,Tpool2_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,,-0.19%
0.14%,0%,Tpool1_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,,0.14%,
0.14%,0.28%,feprx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,,,-0.14%
0.14%,0%,RLC,queue,[k],RLC,,,0.14%,
0.14%,0%,RLC,queue,[k],RLC,,,0.14%,
0.13%,0.01%,Tpool3_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,,0.12%,
0.13%,0%,TASK_GTPV1_U,[kernel.kallsyms],__skb_checksum,NG,,,0.13%,
0.12%,0.38%,thread_FH,[kernel.kallsyms],skb_release_data,PHY,LOW PHY,,,-0.26%
0.12%,0.14%,thread_FH,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,,,-0.02%
0.12%,0.05%,Tpool0_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.07%,
0.12%,0%,Tpool0_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,,0.12%,
0.12%,0%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock,NG,,,0.12%,
0.12%,0.13%,Tpool1_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,,,-0.01%
0.11%,0%,TASK_GTPV1_U,[kernel.kallsyms],do_csum,NG,,,0.11%,
0.11%,0%,TASK_GTPV1_U,[kernel.kallsyms],skb_release_data,NG,,,0.11%,
0.11%,0.23%,Tpool3_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,,-0.12%
0.11%,0%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock_irqrestore,NG,,,0.11%,
0.11%,0.18%,Tpool3_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,,,-0.07%
0.10%,0.28%,Tpool0_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,,-0.18%
0.10%,0%,TASK_GTPV1_U,[kernel.kallsyms],sys_epoll_wait,NG,,,0.10%,
0.10%,0%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_lock,NG,,,0.10%,
0.09%,0%,Tpool2_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,0.09%,
0.09%,0%,RLC,queue,[.],RLC,,,0.09%,
0.09%,0%,TASK_GTPV1_U,[kernel.kallsyms],queue_work_on,NG,,,0.09%,
0.09%,0.30%,Tpool3_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,,-0.21%
0.09%,0%,Tpool1_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,0.09%,
0.09%,0.19%,Tpool2_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,,,-0.10%
0.09%,0.11%,Tpool2_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,,-0.02%
0.08%,0.11%,feprx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,,,-0.03%
0.08%,0%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_unlock,NG,,,0.08%,
0.08%,0%,TASK_GTPV1_U,[kernel.kallsyms],__fget,NG,,,0.08%,
0.08%,0.25%,Tpool0_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,,,-0.17%
0.08%,0%,TASK_GTPV1_U,[kernel.kallsyms],__check_object_size,NG,,,0.08%,
0.08%,0.11%,feptx,nr-softmodem,PHY_ofdm_mod.part.0,PHY,LOW PHY,,,-0.03%
0.08%,0.08%,thread_FH,[kernel.kallsyms],ep_send_events_proc,PHY,LOW PHY,,0.00%,
0.08%,0.15%,Tpool1_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,,-0.07%
0.08%,0%,TASK_GTPV1_U,[kernel.kallsyms],update_load_avg,NG,,,0.08%,
0.08%,0%,TASK_GTPV1_U,[kernel.kallsyms],__tty_buffer_request_room,NG,,,0.08%,
0.07%,0%,RLC,queue,[k],RLC,,,0.07%,
0.07%,0.10%,Tpool0_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,,-0.03%
0.07%,0%,Tpool0_-1,nr-softmodem,crc24b,PHY,HIGH PHY,,0.07%,
0.07%,0.03%,Tpool3_-1,libdfts.so,idft256,PHY,LOW PHY,,0.04%,
0.07%,0%,TASK_GTPV1_U,[kernel.kallsyms],try_to_wake_up,NG,,,0.07%,
0.07%,0%,TASK_GTPV1_U,[kernel.kallsyms],ep_send_events_proc,NG,,,0.07%,
0.07%,0%,RLC,queue,[k],RLC,,,0.07%,
0.07%,0%,Tpool1_-1,nr-softmodem,crc24b,PHY,HIGH PHY,,0.07%,
0.07%,0%,TASK_GTPV1_U,libc-2.27.so,_IO_default_xsputn,NG,,,0.07%,
0.07%,0%,TASK_GTPV1_U,[unknown],0xfffffe000003701b,NG,,,0.07%,
0.07%,0%,TASK_GTPV1_U,[kernel.kallsyms],sock_poll,NG,,,0.07%,
0.07%,0%,Tpool3_-1,nr-softmodem,nr_rlc_pdu_encoder_put_bits,RLC,,,0.07%,
0.07%,0%,TASK_GTPV1_U,libc-2.27.so,__strchrnul_avx2,NG,,,0.07%,
0.07%,0%,TASK_GTPV1_U,[kernel.kallsyms],__entry_trampoline_start,NG,,,0.07%,
0.07%,0%,TASK_GTPV1_U,libc-2.27.so,_IO_old_init,NG,,,0.07%,
0.07%,0.06%,Tpool2_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC,0.01%,
0.06%,0%,Tpool0_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,0.06%,
0.06%,0%,Tpool3_-1,nr-softmodem,crc24b,PHY,HIGH PHY,,0.06%,
0.06%,0%,Tpool1_-1,nr-softmodem,crc24a,PHY,HIGH PHY,,0.06%,
0.06%,0%,TASK_GTPV1_U,[kernel.kallsyms],tty_write,NG,,,0.06%,
0.06%,0%,TASK_GTPV1_U,nr-softmodem,log_output_memory.isra.1,NG,,,0.06%,
0.06%,0.21%,thread_FH,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,,,-0.15%
0.06%,0.05%,Tpool2_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,0.01%,
0.06%,0%,TASK_GTPV1_U,libc-2.27.so,__memmove_avx_unaligned_erms,NG,,,0.06%,
0.06%,0%,TASK_GTPV1_U,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,NG,,,0.06%,
0.06%,0%,RLC,queue,[.],RLC,,,0.06%,
0.06%,0.02%,thread_FH,[kernel.kallsyms],enqueue_task_rt,PHY,LOW PHY,,0.04%,
0.06%,0%,TASK_GTPV1_U,[kernel.kallsyms],inet_recvmsg,NG,,,0.06%,
0.06%,0.10%,thread_FH,[kernel.kallsyms],tcp_recvmsg,PHY,LOW PHY,,,-0.04%
0.05%,0%,TASK_GTPV1_U,libc-2.27.so,malloc,NG,,,0.05%,
0.05%,0.01%,thread_FH,[kernel.kallsyms],mlx4_en_xmit,PHY,LOW PHY,,0.04%,
0.05%,0.05%,thread_FH,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,,0.00%,
0.05%,0%,RLC,queue,[k],RLC,,,0.05%,
0.05%,0%,TASK_GTPV1_U,[kernel.kallsyms],__indirect_thunk_start,NG,,,0.05%,
0.05%,0%,TASK_GTPV1_U,[kernel.kallsyms],__perf_event_task_sched_in,NG,,,0.05%,
0.05%,0%,Tpool2_-1,nr-softmodem,get_dmrs_freq_idx,PHY,HIGH PHY,,0.05%,
0.05%,0.04%,feptx,nr-softmodem,nr_feptx_thread,PHY,LOW PHY,,0.01%,
0.05%,0%,TASK_GTPV1_U,[kernel.kallsyms],datagram_poll,NG,,,0.05%,
0.05%,0%,Tpool2_-1,nr-softmodem,crc24b,PHY,HIGH PHY,,0.05%,
0.05%,0.03%,Tpool0_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC,0.02%,
0.05%,0%,RLC,queue,[k],RLC,,,0.05%,
0.05%,0%,feptx,[kernel.kallsyms],futex_wait,PHY,LOW PHY,,0.05%,
0.05%,0%,RLC,queue,[.],RLC,,,0.05%,
0.05%,0%,thread_FH,[unknown],0xfffffe00000ca01b,PHY,LOW PHY,,0.05%,
0.05%,0%,RLC,queue,[.],RLC,,,0.05%,
0.05%,0%,RLC,queue,[k],RLC,,,0.05%,
0.05%,0%,TASK_GTPV1_U,[kernel.kallsyms],tty_paranoia_check,NG,,,0.05%,
0.05%,0.02%,Tpool0_-1,libdfts.so,idft256,PHY,LOW PHY,,0.03%,
0.05%,0.04%,feptx,libdfts.so,idft64@plt,PHY,LOW PHY,,0.01%,
0.04%,0.01%,Tpool2_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,0.03%,
0.04%,0%,TASK_GTPV1_U,[kernel.kallsyms],mutex_lock,NG,,,0.04%,
0.04%,0.02%,feptx,[kernel.kallsyms],__entry_trampoline_start,PHY,LOW PHY,,0.02%,
0.04%,0.02%,thread_FH,[kernel.kallsyms],tcp_poll,PHY,LOW PHY,,0.02%,
0.04%,0%,TASK_GTPV1_U,[kernel.kallsyms],__first_packet_length,NG,,,0.04%,
0.04%,0.35%,feptx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,,,-0.31%
0.04%,0.03%,thread_FH,librfsimulator.so,flushInput,PHY,LOW PHY,,0.01%,
0.04%,0%,Tpool3_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,0.04%,
0.04%,0%,TASK_GTPV1_U,[kernel.kallsyms],update_curr_rt,NG,,,0.04%,
0.04%,0%,TASK_GTPV1_U,[kernel.kallsyms],fput,NG,,,0.04%,
0.04%,0%,TASK_GTPV1_U,libc-2.27.so,__strlen_avx2,NG,,,0.04%,
0.04%,0.04%,nr-softmodem,nr-softmodem,nr_slot_select,PHY,LOW PHY,,0.00%,
0.04%,0%,TASK_GTPV1_U,libc-2.27.so,_IO_no_init,NG,,,0.04%,
0.04%,0%,TASK_GTPV1_U,[kernel.kallsyms],__skb_recv_udp,NG,,,0.04%,
0.04%,0.02%,thread_FH,[kernel.kallsyms],ip_queue_xmit,PHY,LOW PHY,,0.02%,
0.04%,0%,TASK_GTPV1_U,[kernel.kallsyms],activate_task,NG,,,0.04%,
0.04%,0%,Tpool1_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,0.04%,
0.04%,0.03%,thread_FH,[kernel.kallsyms],__tcp_transmit_skb,PHY,LOW PHY,,0.01%,
0.04%,0%,Tpool0_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,0.04%,
0.04%,0.03%,thread_FH,[kernel.kallsyms],futex_wake,PHY,LOW PHY,,0.01%,
0.04%,0.02%,Tpool3_-1,nr-softmodem,nr_generate_dci,PHY,HIGH PHY,,0.02%,
0.04%,0%,thread_FH,nr-softmodem,get_samples_slot_timestamp,PHY,LOW PHY,,0.04%,
0.04%,0%,TASK_GTPV1_U,[kernel.kallsyms],copy_user_generic_unrolled,NG,,,0.04%,
0.04%,0%,thread_FH,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,PHY,LOW PHY,,0.04%,
0.04%,0.01%,Tpool2_-1,nr-softmodem,nr_schedule_response,PHY,HIGH PHY,,0.03%,
0.04%,0%,TASK_GTPV1_U,[kernel.kallsyms],__rcu_read_unlock,NG,,,0.04%,
0.04%,0.10%,thread_FH,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,,,-0.06%
0.04%,0.01%,Tpool0_-1,nr-softmodem,nr_ulsch_extract_rbs_single,PHY,HIGH PHY,,0.03%,
0.04%,0%,TASK_GTPV1_U,nr-softmodem,gtpv1uReceiver,NG,,,0.04%,
0.04%,0%,TASK_GTPV1_U,[kernel.kallsyms],copy_user_enhanced_fast_string,NG,,,0.04%,
0.04%,0.05%,Tpool1_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,,-0.01%
0.04%,0.03%,Tpool0_-1,nr-softmodem,polar_encoder_fast,PHY,HIGH PHY,,0.01%,
0.03%,0%,TASK_GTPV1_U,[kernel.kallsyms],wake_up_q,NG,,,0.03%,
0.03%,0.02%,Tpool3_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,0.01%,
0.03%,0%,TASK_GTPV1_U,libc-2.27.so,__libc_enable_asynccancel,NG,,,0.03%,
0.03%,0.01%,feptx,[unknown],0xfffffe000003701b,PHY,LOW PHY,,0.02%,
0.03%,0%,TASK_GTPV1_U,libpthread-2.27.so,__libc_recvfrom,NG,,,0.03%,
0.03%,0%,RLC,queue,[.],RLC,,,0.03%,
