Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU1(all):72.26%,CPU1,CPU2(all)176.21%,CPU2,CPU1-CPU2
0%,0.12%,thread_FH,[kernel.kallsyms],usbdev_do_ioctl,PHY,LOW PHY,,,-0.12%,,44.08%,0.00%,82.40%,0.10%,-0.10%
0%,0.12%,thread_FH,libpthread-2.27.so,__lll_unlock_wake,PHY,LOW PHY,,,-0.12%,,44.08%,0.00%,82.40%,0.10%,-0.10%
0%,0.12%,thread_FH,[kernel.kallsyms],__x64_sys_futex,PHY,LOW PHY,,,-0.12%,,44.08%,0.00%,82.40%,0.10%,-0.10%
0%,0.12%,thread_FH,[kernel.kallsyms],__x64_sys_poll,PHY,LOW PHY,,,-0.12%,,44.08%,0.00%,82.40%,0.10%,-0.10%
0%,0.11%,thread_FH,[kernel.kallsyms],__put_user_4,PHY,LOW PHY,,,-0.11%,,44.08%,0.00%,82.40%,0.09%,-0.09%
0%,0.11%,thread_FH,libc-2.27.so,_int_malloc,PHY,LOW PHY,,,-0.11%,,44.08%,0.00%,82.40%,0.09%,-0.09%
0%,0.11%,Tpool0_-1,nr-softmodem,pdcp_run,PDCP,,,,-0.11%,,44.08%,0.00%,82.40%,0.09%,-0.09%
0%,0.10%,thread_FH,[kernel.kallsyms],newidle_balance,PHY,LOW PHY,,,-0.10%,,44.08%,0.00%,82.40%,0.08%,-0.08%
0%,0.10%,TASK_GTPV1_U,[kernel.kallsyms],syscall_return_via_sysret,NG,,,,-0.10%,,44.08%,0.00%,82.40%,0.08%,-0.08%
0%,0.10%,thread_FH,[kernel.kallsyms],__fget_light,PHY,LOW PHY,,,-0.10%,,44.08%,0.00%,82.40%,0.08%,-0.08%
0%,0.09%,thread_FH,[kernel.kallsyms],poll_schedule_timeout.constprop.13,PHY,LOW PHY,,,-0.09%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.09%,thread_FH,[kernel.kallsyms],get_futex_key_refs.isra.10,PHY,LOW PHY,,,-0.09%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.09%,thread_FH,[kernel.kallsyms],update_rt_rq_load_avg,PHY,LOW PHY,,,-0.09%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.09%,TASK_RRC_GNB,[kernel.kallsyms],irq_work_tick,RRC,,,,-0.09%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.09%,thread_FH,libpthread-2.27.so,__pthread_enable_asynccancel,PHY,LOW PHY,,,-0.09%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,[kernel.kallsyms],__kmalloc,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,libc-2.27.so,__tz_convert,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,[kernel.kallsyms],unfreeze_partials.isra.84,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,[kernel.kallsyms],dequeue_top_rt_rq,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,[kernel.kallsyms],group_sched_in,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.08%,thread_FH,libuhd.so.4.1.0,0x00000000001f59ba,PHY,LOW PHY,,,-0.08%,,44.08%,0.00%,82.40%,0.07%,-0.07%
0%,0.07%,thread_FH,libuhd.so.4.1.0,uhd::time_spec_t::from_ticks,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],current_time,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],usb_hcd_submit_urb,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],__perf_event_task_sched_out,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],usbdev_poll,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],rb_next,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,thread_FH,[kernel.kallsyms],usb_free_urb,PHY,LOW PHY,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,pdcp_timer,[kernel.kallsyms],psi_task_change,PDCP,,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.07%,RLC,queue,[k],RLC,,,,-0.07%,,44.08%,0.00%,82.40%,0.06%,-0.06%
0%,0.06%,thread_FH,[kernel.kallsyms],pipe_poll,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],pick_next_task_fair,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],__put_user_8,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],usbfs_increase_memory_usage,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],new_slab,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],perf_event_sched_in,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],try_to_wake_up,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,libuhd.so.4.1.0,uhd::transport::vrt::if_hdr_unpack_le,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,[kernel.kallsyms],___slab_alloc,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,nr-softmodem,nr_fep0,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,libc-2.27.so,__offtime,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.06%,thread_FH,libuhd.so.4.1.0,0x000000000077fb69,PHY,LOW PHY,,,-0.06%,,44.08%,0.00%,82.40%,0.05%,-0.05%
0%,0.05%,RLC,queue,[k],RLC,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,libuhd.so.4.1.0,0x00000000001f59ca,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000d325,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,RLC,queue,[.],RLC,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,RLC,queue,[k],RLC,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],copy_user_generic_unrolled,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],xhci_check_args,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,pdcp_timer,libpthread-2.27.so,__pthread_mutex_lock,PDCP,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],__rcu_read_lock,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],ttwu_do_wakeup,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,libuhd.so.4.1.0,0x000000000077fe59,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],update_rq_clock,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],perf_swevent_add,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,RLC,queue,[k],RLC,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],put_prev_task_rt,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],sched_clock_cpu,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],prepare_ring,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],timerfd_poll,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],_raw_spin_unlock_irq,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,[kernel.kallsyms],pick_next_task_rt,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,thread_FH,libuhd.so.4.1.0,0x00000000008eee40,PHY,LOW PHY,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_rt,NG,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.05%,RLC,queue,[.],RLC,,,,-0.05%,,44.08%,0.00%,82.40%,0.04%,-0.04%
0%,0.04%,thread_FH,[kernel.kallsyms],do_futex,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],findintfep.isra.20,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,libpthread-2.27.so,__pthread_mutex_unlock_usercnt,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],usb_get_urb,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],kmem_cache_alloc_trace,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,TASK_GTPV1_U,[kernel.kallsyms],native_irq_return_iret,NG,,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],wake_up_q,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,libuhd.so.4.1.0,uhd::time_spec_t::operator+=,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],timestamp_truncate,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],_raw_spin_unlock,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,libuhd.so.4.1.0,0x00000000008ef5fc,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,TASK_RRC_GNB,[kernel.kallsyms],fput_many,RRC,,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,RLC,queue,[k],RLC,,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],intel_pmu_disable_all,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],get_partial_node.isra.85,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],queue_trb,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],usb_submit_urb,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,pdcp_timer,[kernel.kallsyms],futex_wait_queue_me,PDCP,,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000c25a,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,RLC,queue,[k],RLC,,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,libuhd.so.4.1.0,0x0000000000381b83,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,Tpool1_-1,libldpc.so,[.],memcpy@plt,PHY,HIGH PHY,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,[kernel.kallsyms],flexible_sched_in,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,feptx,[kernel.kallsyms],pick_next_task_rt,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,feptx,libpthread-2.27.so,__pthread_mutex_unlock,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,pdcp_timer,libpthread-2.27.so,__pthread_mutex_unlock,PDCP,,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,TASK_GTPV1_U,[kernel.kallsyms],_raw_write_unlock_irq,NG,,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.04%,thread_FH,libuhd.so.4.1.0,0x00000000008ee530,PHY,LOW PHY,,,-0.04%,,44.08%,0.00%,82.40%,0.03%,-0.03%
0%,0.03%,thread_FH,[kernel.kallsyms],xhci_queue_bulk_tx,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],__x64_sys_ioctl,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],usb_hcd_map_urb_for_dma,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],usbdev_ioctl,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],__mutex_lock.isra.10,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],hrtimer_start_range_ns,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,pdcp_timer,[kernel.kallsyms],entry_SYSCALL_64,PDCP,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,libc-2.27.so,__tzfile_compute,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],usb_hcd_is_primary_hcd,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,pdcp_timer,nr-softmodem,nr_pdcp_timer_thread,PDCP,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],get_futex_key,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,libuhd.so.4.1.0,uhd::time_spec_t::time_spec_t,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],poll_freewait,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,feptx,[kernel.kallsyms],ctx_sched_in,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,feptx,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,feptx,[kernel.kallsyms],futex_wait_queue_me,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,feptx,[kernel.kallsyms],perf_event_sched_in,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,feptx,[kernel.kallsyms],perf_swevent_add,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],intel_map_page,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,libuhd.so.4.1.0,0x00000000008ed2c6,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,TASK_GTPV1_U,nr-softmodem,gtpv1uTask,NG,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,RLC,queue,[.],RLC,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],_extract_crng,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,TASK_GTPV1_U,[kernel.kallsyms],__check_object_size,NG,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],balance_rt,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,TASK_RRC_GNB,nr-softmodem,itti_receive_msg,RRC,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,TASK_GTPV1_U,libc-2.27.so,__libc_disable_asynccancel,NG,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],futex_wait_queue_me,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,libuhd.so.4.1.0,0x000000000077f973,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],__cgroup_account_cputime,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,pdcp_timer,[kernel.kallsyms],x86_pmu_disable,PDCP,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],__fdget,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],remove_wait_queue,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000d369,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,libuhd.so.4.1.0,0x00000000008ef710,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,libuhd.so.4.1.0,0x00000000001f59a9,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,TASK_RRC_GNB,[kernel.kallsyms],mutex_lock,RRC,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],ksys_ioctl,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,TASK_RRC_GNB,[kernel.kallsyms],ctx_sched_out,RRC,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,TASK_RRC_GNB,[kernel.kallsyms],rcu_irq_enter,RRC,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,TASK_RRC_GNB,libc-2.27.so,__libc_disable_asynccancel,RRC,,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],free_async,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.03%,thread_FH,[kernel.kallsyms],deactivate_task,PHY,LOW PHY,,,-0.03%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,TASK_RRC_GNB,libc-2.27.so,cfree@GLIBC_2.2.5,RRC,,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,libuhd.so.4.1.0,pthread_mutex_unlock@plt,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_stop,NG,,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,libuhd.so.4.1.0,0x000000000077f944,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,libuhd.so.4.1.0,0x000000000077f97f,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,TASK_GNB_APP,[kernel.kallsyms],cpuacct_charge,SL,,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,[kernel.kallsyms],cgroup_rstat_updated,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,[vdso],__vdso_gettimeofday,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,libuhd.so.4.1.0,0x00000000002fe412,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,[kernel.kallsyms],free_pcppages_bulk,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,[kernel.kallsyms],ktime_get_coarse_real_ts64,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],dequeue_task_rt,NG,,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,[vdso],0x0000000000000747,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,RLC,queue,[k],RLC,,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,libuhd.so.4.1.0,0x0000000000306e45,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000443f,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,[kernel.kallsyms],lock_hrtimer_base,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
0%,0.02%,thread_FH,[kernel.kallsyms],push_rt_task,PHY,LOW PHY,,,-0.02%,,44.08%,0.00%,82.40%,0.02%,-0.02%
