Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,PSCP of 4Mbps -PSCP of 0Mbps,PSCP of 4Mbps - PSCP of 0Mbps,,CPU of 4Mbps:(all)72.26%,CPU with 4Mbps,CPU with 0Mbps (all)176.21%,CPU of 0Mbps,CPU1-CPU2
0.02%,0.05%,feptx,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,,,-0.030000000000000002%
0.02%,0%,thread_FH,[kernel.kallsyms],free_one_page,PHY,LOW PHY,,-0.030000000000000002%
0.02%,0.03%,thread_FH,[kernel.kallsyms],ip_queue_xmit,PHY,LOW PHY,,,-0.009999999999999998%
0.02%,0%,thread_FH,[kernel.kallsyms],tcp_data_queue,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0%,feptx,[kernel.kallsyms],_raw_spin_unlock,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0%,thread_FH,[kernel.kallsyms],ipv4_mtu,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0.02%,thread_FH,[kernel.kallsyms],tcp_stream_memory_free,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,,0.0%
0.02%,0%,Tpool0_-1,libldpc.so,ldpc_BG2_Zc88_byte,PHY,HIGH PHY,LDPC,0.0%
0.02%,0%,feptx,[kernel.kallsyms],get_futex_value_locked,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],kfree,PHY,LOW PHY,,0.0%
0.02%,0.05%,thread_FH,[kernel.kallsyms],_raw_spin_unlock_irqrestore,PHY,LOW PHY,,,-0.030000000000000002%
0.02%,0.07%,Tpool3_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,,-0.05%
0.02%,0.03%,thread_FH,nr-softmodem,nr_slot_select,PHY,LOW PHY,,,-0.009999999999999998%
0.02%,0%,thread_FH,[kernel.kallsyms],swiotlb_map_page,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0%,thread_FH,[kernel.kallsyms],tcp_queue_rcv,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0.09%,thread_FH,[kernel.kallsyms],__fget,PHY,LOW PHY,,,-0.06999999999999999%
0.02%,0.03%,thread_FH,[kernel.kallsyms],ip_finish_output,PHY,LOW PHY,,,-0.009999999999999998%
0.02%,0.02%,thread_FH,[kernel.kallsyms],get_futex_key_refs.isra.11,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],rcu_check_callbacks,PHY,LOW PHY,,0.0%
0.02%,0%,feptx,[kernel.kallsyms],enqueue_task_rt,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],__release_sock,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],ns_to_timespec64,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],kmem_cache_alloc_node,PHY,LOW PHY,,0.0%
0.02%,0%,Tpool1_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],hash_futex,PHY,LOW PHY,,0.0%
0.02%,0.15%,thread_FH,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PHY,LOW PHY,,,-0.13%
0.02%,0.04%,thread_FH,nr-softmodem,rx_nr_prach_ru,PHY,LOW PHY,,,-0.02%
0.02%,0.01%,thread_FH,[kernel.kallsyms],tcp_grow_window.isra.23,PHY,LOW PHY,,0.01%
0.02%,0.02%,feptx,[kernel.kallsyms],native_sched_clock,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],sockfd_lookup_light,PHY,LOW PHY,,0.0%
0.02%,0.02%,thread_FH,[kernel.kallsyms],__rcu_read_lock,PHY,LOW PHY,,0.0%
0.02%,0.05%,thread_FH,[kernel.kallsyms],__netdev_pick_tx,PHY,LOW PHY,,,-0.030000000000000002%
0.02%,0%,Tpool1_-1,libdfts.so,idft2048,PHY,LOW PHY,DFT,-0.030000000000000002%
0.02%,0.06%,thread_FH,[kernel.kallsyms],try_to_wake_up,PHY,LOW PHY,,,-0.039999999999999994%
0.02%,0%,thread_FH,[kernel.kallsyms],account_user_time,PHY,LOW PHY,,-0.039999999999999994%
0.02%,0%,Tpool1_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,-0.039999999999999994%
0.02%,0.02%,thread_FH,[kernel.kallsyms],ep_scan_ready_list.constprop.17,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],tcp_event_data_recv,PHY,LOW PHY,,0.0%
0.02%,0.02%,pdcp_timer,[kernel.kallsyms],update_curr_rt,PDCP,,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],_raw_spin_lock_bh,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],__perf_event_task_sched_in,PHY,LOW PHY,,0.0%
0.02%,0.03%,thread_FH,[kernel.kallsyms],__hrtimer_run_queues,PHY,LOW PHY,,,-0.009999999999999998%
0.02%,0%,feprx,[unknown],0xfffffe000022101b,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0%,thread_FH,[kernel.kallsyms],sched_clock_cpu,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0%,thread_FH,nr-softmodem,get_samples_slot_timestamp,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],native_write_msr,RRC,,,0.02%
0.02%,0%,thread_FH,[kernel.kallsyms],update_rq_clock,PHY,LOW PHY,,0.02%
0.02%,0.02%,thread_FH,[kernel.kallsyms],check_stack_object,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],__kmalloc_node_track_caller,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],ip_send_check,PHY,LOW PHY,,0.0%
0.02%,0.02%,thread_FH,[kernel.kallsyms],ep_poll,PHY,LOW PHY,,0.0%
0.02%,0.03%,thread_FH,[kernel.kallsyms],fput_many,PHY,LOW PHY,,,-0.009999999999999998%
0.02%,0%,thread_FH,[unknown],0xfffffe0000037032,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0.04%,Tpool2_-1,libldpc.so,nrLDPC_cnProc_BG2,PHY,HIGH PHY,LDPC,,-0.02%
0.02%,0%,Tpool2_-1,libdfts.so,idft256,PHY,LOW PHY,DFT,-0.02%
0.02%,0%,Tpool0_-1,nr-softmodem,gNB_dlsch_ulsch_scheduler,MAC,,,-0.02%
0.02%,0%,Tpool3_-1,libdfts.so,idft64,PHY,LOW PHY,DFT,-0.02%
0.02%,0%,Tpool3_-1,nr-softmodem,nr_ulsch_extract_rbs_single,PHY,HIGH PHY,,-0.02%
0.02%,0.04%,Tpool0_-1,nr-softmodem,nr_deinterleaving_ldpc,PHY,HIGH PHY,LDPC,,-0.02%
0.02%,0%,Tpool3_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,-0.02%
0.02%,0%,Tpool1_-1,nr-softmodem,mac_rlc_status_ind,RLC,,,-0.02%
0.02%,0%,Tpool2_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC,-0.02%
0.02%,0%,Tpool0_-1,nr-softmodem,nr_slot_select,PHY,LOW PHY,,-0.02%
0.02%,0%,Tpool3_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC,-0.02%
0.02%,0%,TASK_RRC_GNB,[kernel.kallsyms],idle_cpu,RRC,,,-0.02%
0.02%,0%,feptx,[kernel.kallsyms],x86_pmu_enable,PHY,LOW PHY,,-0.02%
0.02%,0%,Tpool0_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,-0.02%
0.02%,0%,feprx,[kernel.kallsyms],update_curr_rt,PHY,LOW PHY,,-0.02%
0.02%,0%,TASK_RRC_GNB,[kernel.kallsyms],__rcu_read_unlock,RRC,,,-0.02%
0.02%,0%,feprx,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,,-0.02%
0.02%,0.05%,feptx,[kernel.kallsyms],futex_wait,PHY,LOW PHY,,,-0.030000000000000002%
0.02%,0%,Tpool3_-1,nr-softmodem,mac_rlc_status_ind,RLC,,,-0.030000000000000002%
0.01%,0%,Tpool2_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,-0.030000000000000002%
0.01%,0%,feptx,[kernel.kallsyms],futex_wait_queue_me,PHY,LOW PHY,,-0.030000000000000002%
0.01%,0%,Tpool2_-1,nr-softmodem,NR_UL_indication,MAC,,,-0.030000000000000002%
0.01%,0%,Tpool2_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,-0.030000000000000002%
0.01%,0%,feprx,[kernel.kallsyms],try_to_wake_up,PHY,LOW PHY,,-0.030000000000000002%
0.01%,0%,feprx,[kernel.kallsyms],__sched_text_start,PHY,LOW PHY,,-0.030000000000000002%
0.01%,0%,Tpool2_-1,nr-softmodem,nr_slot_select,PHY,LOW PHY,,-0.030000000000000002%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_fr1_dlsch_preprocessor,MAC,,,-0.030000000000000002%
0.01%,0.03%,feprx,nr-softmodem,get_samples_slot_timestamp,PHY,LOW PHY,,,-0.019999999999999997%
0.01%,0.02%,pdcp_timer,[kernel.kallsyms],syscall_return_via_sysret,PDCP,,,,-0.01%
0.01%,0%,Tpool2_-1,libldpc.so,[.],memcpy@plt,PHY,HIGH PHY,-0.01%
0.01%,0%,feptx,[kernel.kallsyms],update_fast_timekeeper,PHY,LOW PHY,,-0.01%
0.01%,0%,Tpool0_-1,nr-softmodem,nr_ulsch_extract_rbs_single,PHY,HIGH PHY,,-0.01%
0.01%,0%,pdcp_timer,[kernel.kallsyms],get_futex_value_locked,PDCP,,,-0.01%
0.01%,0.04%,Tpool3_-1,nr-softmodem,gNB_dlsch_ulsch_scheduler,MAC,,,,-0.03%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_deinterleaving_ldpc,PHY,HIGH PHY,LDPC,-0.03%
0.01%,0.03%,TASK_RRC_GNB,[kernel.kallsyms],_raw_spin_lock_irqsave,RRC,,,,-0.019999999999999997%
0.01%,0%,Tpool0_-1,nr-softmodem,polar_encoder_fast,PHY,HIGH PHY,,-0.019999999999999997%
0.01%,0%,Tpool3_-1,nr-softmodem,polar_encoder_fast,PHY,HIGH PHY,,-0.019999999999999997%
0.01%,0%,feptx,[kernel.kallsyms],hrtimer_forward,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0.02%,pdcp_timer,[kernel.kallsyms],_raw_spin_lock,PDCP,,,,-0.01%
0.01%,0.01%,feprx,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,PHY,LOW PHY,,0.0%
0.01%,0%,feptx,[unknown],0xfffffe0000068027,PHY,LOW PHY,,0.0%
0.01%,0%,pdcp_timer,libpthread-2.27.so,__pthread_mutex_lock,PDCP,,,0.0%
0.01%,0%,Tpool3_-1,nr-softmodem,dB_fixed,PHY,LOW PHY,,0.0%
0.01%,0%,Tpool1_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC,0.0%
0.01%,0%,Tpool2_-1,nr-softmodem,phy_procedures_gNB_uespec_RX,PHY,HIGH PHY,,0.0%
0.01%,0%,thread_FH,[kernel.kallsyms],__alloc_skb,PHY,LOW PHY,,0.0%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],_raw_spin_lock,RRC,,,0.0%
0.01%,0%,feptx,[kernel.kallsyms],ktime_get,PHY,LOW PHY,,0.0%
0.01%,0%,pdcp_timer,nr-softmodem,pthread_mutex_lock@plt,PDCP,,,0.0%
0.01%,0%,feptx,[kernel.kallsyms],sched_clock_cpu,PHY,LOW PHY,,0.0%
0.01%,0%,feprx,[kernel.kallsyms],futex_wait,PHY,LOW PHY,,0.0%
0.01%,0%,thread_FH,libpthread-2.27.so,__pthread_mutex_unlock_usercnt,PHY,LOW PHY,,0.0%
0.01%,0%,Tpool0_-1,libdfts.so,idft256,PHY,LOW PHY,DFT,0.0%
0.01%,0%,Tpool3_-1,nr-softmodem,crc16,PHY,HIGH PHY,,0.0%
0.01%,0%,thread_FH,[unknown],0xfffffe000006800c,PHY,LOW PHY,,0.0%
0.01%,0%,feptx,[kernel.kallsyms],dequeue_rt_stack,PHY,LOW PHY,,0.0%
0.01%,0%,thread_FH,[kernel.kallsyms],select_task_rq_rt,PHY,LOW PHY,,0.0%
0.01%,0%,thread_FH,[kernel.kallsyms],schedule_hrtimeout_range_clock,PHY,LOW PHY,,0.0%
0.01%,0%,thread_FH,[kernel.kallsyms],dev_queue_xmit,PHY,LOW PHY,,0.0%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],cpuacct_charge,RRC,,,0.0%
0.01%,0.02%,Tpool1_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC,,-0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_gnb_measurements,PHY,HIGH PHY,,-0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],__default_send_IPI_dest_field,PHY,LOW PHY,,-0.01%
0.01%,0%,feptx,[kernel.kallsyms],intel_pmu_disable_all,PHY,LOW PHY,,-0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],tcp_v4_md5_lookup,PHY,LOW PHY,,-0.01%
0.01%,0%,feptx,[kernel.kallsyms],x86_pmu_disable,PHY,LOW PHY,,-0.01%
0.01%,0%,thread_FH,nr-softmodem,nr_fep_full_2thread,PHY,LOW PHY,,-0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],hrtimer_try_to_cancel,PHY,LOW PHY,,-0.01%
0.01%,0%,feprx,[kernel.kallsyms],futex_wait_setup,PHY,LOW PHY,,-0.01%
0.01%,0.04%,thread_FH,[kernel.kallsyms],_raw_spin_unlock,PHY,LOW PHY,,,-0.03%
0.01%,0%,thread_FH,[kernel.kallsyms],wake_q_add,PHY,LOW PHY,,-0.03%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],fput_many,RRC,,,-0.03%
0.01%,0%,Tpool3_-1,nr-softmodem,nr_schedule_ulsch,MAC,,,-0.03%
0.01%,0.03%,thread_FH,[kernel.kallsyms],check_preempt_curr,PHY,LOW PHY,,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],notifier_call_chain,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0%,pdcp_timer,[kernel.kallsyms],do_futex,PDCP,,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],sock_def_readable,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0%,pdcp_timer,[kernel.kallsyms],cpumask_next_and,PDCP,,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],bictcp_cong_avoid,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0%,Tpool2_-1,nr-softmodem,phy_procedures_gNB_TX,PHY,,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],trace_sched_wake_idle_without_ipi,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],tcp_v4_do_rcv,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],native_irq_return_iret,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],ixgbe_tx_ctxtdesc,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],dequeue_rt_stack,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],tcp_rcv_established,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],pvclock_gtod_notify,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0.03%,thread_FH,[kernel.kallsyms],skb_network_protocol,PHY,LOW PHY,,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],hrtimer_interrupt,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0.03%,thread_FH,[kernel.kallsyms],import_single_range,PHY,LOW PHY,,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],__free_pages_ok,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0%,thread_FH,[kernel.kallsyms],set_next_entity,PHY,LOW PHY,,-0.019999999999999997%
0.01%,0.02%,TASK_RRC_GNB,[kernel.kallsyms],__fget_light,RRC,,,,-0.01%
0.01%,0%,feprx,[kernel.kallsyms],prepare_exit_to_usermode,PHY,LOW PHY,,-0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],enqueue_task_fair,PHY,LOW PHY,,,-0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],tick_sched_do_timer,PHY,LOW PHY,,-0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,,-0.01%
0.01%,0.06%,thread_FH,[kernel.kallsyms],aa_sk_perm,PHY,LOW PHY,,,-0.049999999999999996%
0.01%,0%,thread_FH,[kernel.kallsyms],intel_pmu_disable_all,PHY,LOW PHY,,-0.049999999999999996%
0.01%,0%,thread_FH,nr-softmodem,wait_on_busy_condition.constprop.2,PHY,LOW PHY,,-0.049999999999999996%
0.01%,0%,feptx,[kernel.kallsyms],irq_chip_ack_parent,PHY,LOW PHY,,-0.049999999999999996%
0.01%,0%,thread_FH,nr-softmodem,free_nr_ru_prach_entry,PHY,LOW PHY,,-0.049999999999999996%
0.01%,0%,thread_FH,[kernel.kallsyms],swiotlb_dma_mapping_error,PHY,LOW PHY,,-0.049999999999999996%
0.01%,0%,thread_FH,[kernel.kallsyms],ixgbe_fdir_add_signature_filter_82599,PHY,LOW PHY,,-0.049999999999999996%
0.01%,0%,feprx,[kernel.kallsyms],__unqueue_futex,PHY,LOW PHY,,-0.049999999999999996%
0.01%,0%,thread_FH,[kernel.kallsyms],cmpxchg_double_slab.isra.33,PHY,LOW PHY,,-0.049999999999999996%
0.01%,0%,Tpool1_-1,nr-softmodem,apply_nr_rotation_ul,PHY,HIGH PHY,,-0.049999999999999996%
0.01%,0%,feprx,libpthread-2.27.so,__pthread_disable_asynccancel,PHY,LOW PHY,,-0.049999999999999996%
0.01%,0%,thread_FH,[kernel.kallsyms],skb_try_coalesce,PHY,LOW PHY,,-0.049999999999999996%
0.01%,0.03%,thread_FH,[kernel.kallsyms],tcp_release_cb,PHY,LOW PHY,,,-0.019999999999999997%
0.01%,0%,Tpool1_-1,libldpc.so,nrLDPC_cnProc_BG2,PHY,HIGH PHY,LDPC,-0.019999999999999997%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],apparmor_file_permission,RRC,,,-0.019999999999999997%
